2018	https://arxiv.org/abs/1812.00546	Learning the progression and clinical subtypes of Alzheimer's disease  from longitudinal clinical data	['disease', 'clinical']
2017	https://arxiv.org/abs/1710.05980	Safe Medicine Recommendation via Medical Knowledge Graph Embedding	['Medicine', 'Medical']
2018	https://arxiv.org/abs/1812.06594	Computational EEG in Personalized Medicine: A study in Parkinson's  Disease	['Medicine', 'Disease']
2018	https://arxiv.org/abs/1812.11183	Reproducible evaluation of diffusion MRI features for automatic  classification of patients with Alzheimers disease	['disease']
2018	https://arxiv.org/abs/1809.00029	Social Network Structure is Predictive of Health and Wellness	['Wellness', 'Health']
2018	https://arxiv.org/abs/1804.08261	Clinical Assistant Diagnosis for Electronic Medical Record Based on  Convolutional Neural Network	['Medical', 'Clinical']
2018	https://arxiv.org/abs/1812.09954	Self-Attention Equipped Graph Convolutions for Disease Prediction	['Disease']
2016	https://arxiv.org/abs/1602.00357	DeepCare: A Deep Dynamic Memory Model for Predictive Medicine	['Medicine']
2018	https://arxiv.org/abs/1811.04854	On the practice of classification learning for clinical diagnosis and  therapy advice in oncology	['clinical']
2018	https://arxiv.org/abs/1811.05402	Embedding Electronic Health Records for Clinical Information Retrieval	['Clinical', 'Health']
2017	https://arxiv.org/abs/1711.00671	Development and validation of a novel dementia of Alzheimer's type (DAT)  score based on metabolism FDG-PET imaging	[]
2016	https://arxiv.org/abs/1607.07712	Review on Telemonitoring of Maternal Health care Targeting Medical  Cyber-Physical Systems	['Medical', 'Health']
2017	https://arxiv.org/abs/1706.09372	Research Opportunities and Visions for Smart and Pervasive Health	['Health']
2018	https://arxiv.org/abs/1803.04180	The organizing vision of integrated health information systems	['health']
2014	https://arxiv.org/abs/1411.1387	Electronic Health Records and Cloud based Generic Medical Equipment  Interface	['Medical', 'Health']
2018	https://arxiv.org/abs/1805.01129	Does Journaling Encourage Healthier Choices? Analyzing Healthy Eating  Behaviors of Food Journalers	[]
2018	https://arxiv.org/abs/1805.03278	Fully Automated Segmentation of Hyperreflective Foci in Optical  Coherence Tomography Images	[]
2018	https://arxiv.org/abs/1805.01130	Eat & Tell: A Randomized Trial of Random-Loss Incentive to Increase  Dietary Self-Tracking Compliance	[]
2018	https://arxiv.org/abs/1801.02476	Semi-automated Annotation of Signal Events in Clinical EEG Data	['Clinical']
2018	https://arxiv.org/abs/1805.02125	Estimation and Tracking of AP-diameter of the Inferior Vena Cava in  Ultrasound Images Using a Novel Active Circle Algorithm	[]
2016	https://arxiv.org/abs/1607.08479	Hegemonic structure of basic, clinical and patented knowledge on Ebola  research: a US army reductionist initiative	['clinical']
2017	https://arxiv.org/abs/1711.07980	Finding Algebraic Structure of Care in Time: A Deep Learning Approach	[]
2016	https://arxiv.org/abs/1602.03686	Medical Concept Representation Learning from Electronic Health Records  and its Application on Heart Failure Prediction	['Medical', 'Health']
2018	https://arxiv.org/abs/1806.00931	Holographic Neural Architectures	[]
2018	https://arxiv.org/abs/1805.11191	Learning From Less Data: Diversified Subset Selection and Active  Learning in Image Classification Tasks	[]
2014	https://arxiv.org/abs/1403.7766	Enhancing Automated Decision Support across Medical and Oral Health  Domains with Semantic Web Technologies	['Medical', 'Health']
2018	https://arxiv.org/abs/1803.10045	Kinetic Compressive Sensing	[]
2018	https://arxiv.org/abs/1805.09799	Prediction of Autism Treatment Response from Baseline fMRI using Random  Forests and Tree Bagging	[]
2015	https://arxiv.org/abs/1506.00571	Calculation of the confidence bounds for the fraction nonconforming of  normal populations of measurements in clinical laboratory medicine	['medicine', 'clinical']
2007	https://arxiv.org/abs/0707.0763	The Requirements for Ontologies in Medical Data Integration: A Case  Study	['Medical']
2017	https://arxiv.org/abs/1712.02547	Persuasive Technology in Reducing Prolonged Sedentary Behavior at Work:  A Systematic Review	[]
2018	https://arxiv.org/abs/1803.03760	Efficient Determination of Equivalence for Encrypted Data	[]
2017	https://arxiv.org/abs/1709.01872	Synthetic Medical Images from Dual Generative Adversarial Networks	['Medical']
2003	https://arxiv.org/abs/cs.DC/0306095	The MammoGrid Project Grids Architecture	[]
2017	https://arxiv.org/abs/1712.09771	Automatic Analysis of EEGs Using Big Data and Hybrid Deep Learning  Architectures	[]
2017	https://arxiv.org/abs/1801.00182	A Real-time and Registration-free Framework for Dynamic Shape  Instantiation	[]
2017	https://arxiv.org/abs/1703.09828	A Framework for Evaluating Epidemic Forecasts	[]
2006	https://arxiv.org/abs/cs.DC/0603035	Final Results from and Exploitation Plans for MammoGrid	[]
2018	https://arxiv.org/abs/1801.01847	Learning Implicit Brain MRI Manifolds with Deep Learning	[]
2017	https://arxiv.org/abs/1709.07357	Retrofitting Concept Vector Representations of Medical Concepts to  Improve Estimates of Semantic Similarity and Relatedness	['Medical']
2004	https://arxiv.org/abs/cs.DB/0402025	A perspective on the Healthgrid initiative	[]
2004	https://arxiv.org/abs/cs.DB/0405072	Grid Databases for Shared Image Analysis in the MammoGrid Project	[]
2003	https://arxiv.org/abs/cs.CC/0305008	A Representation of Changes of Images and its Application for  Developmental Biolology	[]
2013	https://arxiv.org/abs/1312.0735	Use of the C4.5 machine learning algorithm to test a clinical  guideline-based decision support system	['clinical']
2006	https://arxiv.org/abs/cs.CL/0604027	Unification of multi-lingual scientific terminological resources using  the ISO 16642 standard. The TermSciences initiative	[]
2018	https://arxiv.org/abs/1801.05694	A modified fuzzy C means algorithm for shading correction in  craniofacial CBCT images	[]
2018	https://arxiv.org/abs/1802.02088	A Log-Euclidean and Total Variation based Variational Framework for  Computational Sonography	[]
2005	https://arxiv.org/abs/cs.NE/0504057	Diagnostic Rule Extraction Using Neural Networks	[]
2005	https://arxiv.org/abs/cs.DC/0507042	The MammoGrid Virtual Organisation - Federating Distributed Mammograms	[]
2017	https://arxiv.org/abs/1703.02116	Evaluation of Machine Learning Methods to Predict Coronary Artery  Disease Using Metabolomic Data	['Disease']
2013	https://arxiv.org/abs/1305.7331	Alternating Decision trees for early diagnosis of dengue fever	[]
2002	https://arxiv.org/abs/cs.NE/0201024	Design of statistical quality control procedures using genetic algorithms	[]
2017	https://arxiv.org/abs/1706.00712	Convolutional Neural Networks for Medical Image Analysis: Full Training  or Fine Tuning?	['Medical', 'or']
2017	https://arxiv.org/abs/1703.08813	Tweet for Behavior Change: Using Social Media for the Dissemination of  Public Health Messages	['Health']
